metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
max_anomaly,Anomalie max moy. (sigma),AMM,0,-0.1066,0.3694,0.3694,-0.1437,0.2251,0.2251,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,0,-0.0824,0.4885,0.4885,-0.0554,0.6417,0.6417,73,73,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,0,-0.0885,0.4564,0.4831,0.0221,0.8526,0.8612,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,0,-0.1365,0.2497,0.2784,0.0419,0.7249,0.7404,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,0,-0.1299,0.2734,0.3024,0.0316,0.7905,0.8025,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,0,-0.0337,0.777,0.793,-0.0003,0.9977,0.9979,73,63,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,0,-0.197,0.0948,0.0996,-0.266,0.0229,0.0249,73,71,,*,,*
coverage_percent,Couverture spatiale moy. (%),IOBM,0,0.0231,0.846,0.8504,0.1111,0.3493,0.3633,73,69,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,0,0.0656,0.5816,0.601,0.0865,0.4668,0.4898,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,0,0.0239,0.8407,0.8499,-0.0259,0.8277,0.8376,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,0,0.0603,0.6121,0.6303,0.0008,0.9948,0.9951,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,0,0.0352,0.7678,0.7793,0.083,0.485,0.5075,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,0,0.1717,0.1463,0.1713,0.1663,0.1597,0.1855,73,65,,,,
n_events,Nombre d evenements,Nino12,0,0.0766,0.4938,0.4938,0.1024,0.36,0.36,82,82,,,,
n_events,Nombre d evenements,Nino3,0,0.0769,0.4925,0.4925,0.1286,0.2497,0.2497,82,82,,,,
n_events,Nombre d evenements,Nino34,0,0.0347,0.7567,0.7567,0.0588,0.5999,0.5999,82,82,,,,
n_events,Nombre d evenements,Nino4,0,-0.0992,0.3754,0.3754,-0.0617,0.5817,0.5817,82,82,,,,
n_events,Nombre d evenements,IOD,0,-0.1789,0.1078,0.1078,-0.1514,0.1745,0.1745,82,82,,,,
n_events,Nombre d evenements,IOBM,0,-0.1906,0.0863,0.0863,-0.175,0.1158,0.1158,82,82,,,,
n_events,Nombre d evenements,TNA,0,0.2229,0.0442,0.0442,0.1453,0.1929,0.1929,82,82,*,,*,
n_events,Nombre d evenements,TSA,0,-0.1816,0.1025,0.1025,-0.1919,0.0842,0.0842,82,82,,,,
n_events,Nombre d evenements,ATL3,0,-0.21,0.0583,0.0583,-0.168,0.1313,0.1313,82,82,,,,
n_events,Nombre d evenements,AMM,0,0.2952,0.0071,0.0071,0.2772,0.0117,0.0117,82,82,**,*,**,*
n_events,Nombre d evenements,AMO,0,0.2491,0.024,0.024,0.2229,0.0441,0.0441,82,82,*,*,*,*
max_precip,Precipitation max mensuel (mm),Nino12,1,-0.0698,0.5575,0.5575,-0.049,0.6804,0.6804,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino3,1,-0.1285,0.2788,0.2788,-0.0962,0.418,0.418,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino34,1,-0.1462,0.2171,0.2171,-0.1137,0.3381,0.3381,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino4,1,-0.0481,0.6863,0.6863,-0.0589,0.6208,0.6208,73,73,,,,
max_precip,Precipitation max mensuel (mm),IOD,1,-0.0576,0.6281,0.6281,-0.0915,0.4412,0.4412,73,73,,,,
max_precip,Precipitation max mensuel (mm),IOBM,1,0.0128,0.9144,0.9144,0.0128,0.9144,0.9144,73,73,,,,
max_precip,Precipitation max mensuel (mm),TNA,1,-0.0142,0.9049,0.9049,0.0121,0.9193,0.9193,73,73,,,,
max_precip,Precipitation max mensuel (mm),TSA,1,0.117,0.3241,0.3241,0.164,0.1655,0.1655,73,73,,,,
max_precip,Precipitation max mensuel (mm),ATL3,1,0.1557,0.1883,0.1883,0.1736,0.1419,0.1419,73,73,,,,
max_precip,Precipitation max mensuel (mm),AMM,1,-0.0861,0.4687,0.4687,-0.0753,0.5267,0.5267,73,73,,,,
max_precip,Precipitation max mensuel (mm),AMO,1,-0.024,0.8401,0.8401,-0.0406,0.7331,0.7331,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino12,1,-0.1402,0.2367,0.2367,-0.1222,0.3029,0.3029,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino3,1,-0.1778,0.1324,0.1324,-0.1601,0.1761,0.1761,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino34,1,-0.1507,0.2032,0.2032,-0.1425,0.2292,0.2292,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino4,1,-0.078,0.5119,0.5119,-0.1089,0.359,0.359,73,73,,,,
mean_precip,Precipitation moy. (mm),IOD,1,-0.0102,0.932,0.932,-0.0008,0.9948,0.9948,73,73,,,,
mean_precip,Precipitation moy. (mm),IOBM,1,-0.0274,0.8179,0.8179,-0.033,0.7816,0.7816,73,73,,,,
mean_precip,Precipitation moy. (mm),TNA,1,-0.0106,0.9288,0.9288,0.0342,0.7736,0.7736,73,73,,,,
mean_precip,Precipitation moy. (mm),TSA,1,0.0847,0.4763,0.4763,0.135,0.2549,0.2549,73,73,,,,
mean_precip,Precipitation moy. (mm),ATL3,1,0.1664,0.1595,0.1595,0.1847,0.1177,0.1177,73,73,,,,
mean_precip,Precipitation moy. (mm),AMM,1,-0.0626,0.5989,0.5989,-0.0447,0.7074,0.7074,73,73,,,,
mean_precip,Precipitation moy. (mm),AMO,1,0.0058,0.9611,0.9611,0.0276,0.8168,0.8168,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,1,0.0341,0.7748,0.7748,0.069,0.5621,0.5621,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,1,-0.0255,0.8306,0.8306,-0.0211,0.8591,0.8591,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino34,1,-0.103,0.386,0.386,-0.0638,0.5919,0.5919,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino4,1,-0.0346,0.7713,0.7713,0.0233,0.8451,0.8451,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),IOD,1,0.0185,0.8765,0.8765,-0.0406,0.7331,0.7331,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),IOBM,1,0.0066,0.9559,0.9559,-0.0079,0.9473,0.9473,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),TNA,1,-0.1166,0.3257,0.3257,-0.1428,0.2282,0.2282,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,1,0.0956,0.4212,0.4212,0.1155,0.3305,0.3305,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,1,0.0118,0.9212,0.9212,-0.0232,0.8457,0.8457,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,1,-0.1575,0.1832,0.1832,-0.1468,0.2153,0.2153,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,1,-0.1853,0.1165,0.1165,-0.2096,0.0751,0.0751,73,73,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,1,-0.1021,0.39,0.4183,-0.0033,0.9777,0.979,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,1,-0.1959,0.0968,0.1179,-0.0783,0.5102,0.5352,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,1,-0.1015,0.3927,0.4285,-0.0229,0.8476,0.8587,73,63,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,1,0.0769,0.5181,0.5493,0.0982,0.4083,0.4437,73,63,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,1,-0.1132,0.3402,0.3471,-0.1562,0.187,0.1934,73,71,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,1,0.0618,0.6037,0.6195,0.1035,0.3835,0.4045,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,1,0.0058,0.9609,0.9629,0.0225,0.85,0.8575,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,1,0.0614,0.6057,0.6242,0.0983,0.4079,0.4322,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,1,0.1023,0.3891,0.4137,0.0797,0.5029,0.5249,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,1,-0.0341,0.7742,0.7871,-0.0194,0.8703,0.8779,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,1,0.0679,0.5681,0.5909,0.0067,0.9554,0.958,73,65,,,,
n_events,Nombre d evenements,Nino12,1,0.0617,0.5816,0.5816,0.1134,0.3105,0.3105,82,82,,,,
n_events,Nombre d evenements,Nino3,1,-0.0209,0.8522,0.8522,0.0078,0.9447,0.9447,82,82,,,,
n_events,Nombre d evenements,Nino34,1,-0.0954,0.3938,0.3938,-0.0889,0.4272,0.4272,82,82,,,,
n_events,Nombre d evenements,Nino4,1,-0.0979,0.3814,0.3814,-0.1154,0.3018,0.3018,82,82,,,,
n_events,Nombre d evenements,IOD,1,-0.1654,0.1375,0.1375,-0.1525,0.1713,0.1713,82,82,,,,
n_events,Nombre d evenements,IOBM,1,-0.1471,0.1871,0.1871,-0.1254,0.2617,0.2617,82,82,,,,
n_events,Nombre d evenements,TNA,1,0.1583,0.1554,0.1554,0.0714,0.5238,0.5238,82,82,,,,
n_events,Nombre d evenements,TSA,1,-0.1027,0.3587,0.3587,-0.0364,0.7453,0.7453,82,82,,,,
n_events,Nombre d evenements,ATL3,1,-0.0239,0.8312,0.8312,0.0169,0.8803,0.8803,82,82,,,,
n_events,Nombre d evenements,AMM,1,0.1979,0.0747,0.0747,0.1507,0.1765,0.1765,82,82,,,,
n_events,Nombre d evenements,AMO,1,0.1595,0.1523,0.1523,0.0895,0.4237,0.4237,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino12,2,-0.0225,0.8499,0.8499,-0.0439,0.7123,0.7123,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino3,2,-0.0512,0.6672,0.6672,-0.0387,0.745,0.745,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino34,2,-0.1114,0.3481,0.3481,-0.0677,0.5695,0.5695,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino4,2,-0.1136,0.3384,0.3384,-0.133,0.2618,0.2618,73,73,,,,
max_precip,Precipitation max mensuel (mm),IOD,2,-0.0919,0.4396,0.4396,-0.0903,0.4474,0.4474,73,73,,,,
max_precip,Precipitation max mensuel (mm),IOBM,2,0.0474,0.6907,0.6907,0.1029,0.3865,0.3865,73,73,,,,
max_precip,Precipitation max mensuel (mm),TNA,2,-0.0245,0.8369,0.8369,0.0037,0.9754,0.9754,73,73,,,,
max_precip,Precipitation max mensuel (mm),TSA,2,0.0871,0.4639,0.4639,0.1353,0.2539,0.2539,73,73,,,,
max_precip,Precipitation max mensuel (mm),ATL3,2,0.0653,0.5832,0.5832,0.0613,0.6064,0.6064,73,73,,,,
max_precip,Precipitation max mensuel (mm),AMM,2,-0.0784,0.5098,0.5098,-0.0401,0.7362,0.7362,73,73,,,,
max_precip,Precipitation max mensuel (mm),AMO,2,-0.0948,0.4248,0.4248,-0.0837,0.4816,0.4816,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino12,2,-0.117,0.3244,0.3244,-0.1172,0.3235,0.3235,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino3,2,-0.0142,0.905,0.905,-0.0046,0.969,0.969,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino34,2,-0.0579,0.6265,0.6265,-0.031,0.7947,0.7947,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino4,2,-0.1309,0.2697,0.2697,-0.1564,0.1863,0.1863,73,73,,,,
mean_precip,Precipitation moy. (mm),IOD,2,0.0419,0.7246,0.7246,0.0152,0.8984,0.8984,73,73,,,,
mean_precip,Precipitation moy. (mm),IOBM,2,0.0752,0.5273,0.5273,0.0816,0.4927,0.4927,73,73,,,,
mean_precip,Precipitation moy. (mm),TNA,2,-0.0139,0.9068,0.9068,-0.0009,0.9942,0.9942,73,73,,,,
mean_precip,Precipitation moy. (mm),TSA,2,0.0453,0.7033,0.7033,0.0733,0.5378,0.5378,73,73,,,,
mean_precip,Precipitation moy. (mm),ATL3,2,0.0483,0.6847,0.6847,0.0576,0.6285,0.6285,73,73,,,,
mean_precip,Precipitation moy. (mm),AMM,2,-0.0419,0.725,0.725,-0.0163,0.8912,0.8912,73,73,,,,
mean_precip,Precipitation moy. (mm),AMO,2,-0.0816,0.4926,0.4926,-0.0575,0.6291,0.6291,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,2,-0.0114,0.9237,0.9237,0.0359,0.7627,0.7627,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,2,-0.1547,0.1914,0.1914,-0.1102,0.3532,0.3532,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino34,2,-0.1315,0.2673,0.2673,-0.0942,0.4278,0.4278,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino4,2,0.0046,0.9693,0.9693,0.0164,0.8904,0.8904,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),IOD,2,0.0194,0.8703,0.8703,-0.0602,0.6131,0.6131,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),IOBM,2,-0.0205,0.8633,0.8633,-0.0075,0.9498,0.9498,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),TNA,2,-0.1198,0.3127,0.3127,-0.1294,0.2754,0.2754,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,2,0.0905,0.4462,0.4462,0.1055,0.3742,0.3742,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,2,-0.0191,0.8728,0.8728,0.0037,0.9752,0.9752,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,2,-0.167,0.1579,0.1579,-0.1742,0.1405,0.1405,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,2,-0.1913,0.1051,0.1051,-0.1734,0.1424,0.1424,73,73,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,2,-0.1421,0.2305,0.2514,-0.1087,0.3601,0.3814,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,2,-0.1112,0.3489,0.374,-0.0584,0.6237,0.6415,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,2,0.0175,0.8832,0.89,0.0521,0.6613,0.68,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,2,0.085,0.4744,0.5075,0.047,0.6928,0.7144,73,63,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,2,-0.0616,0.6047,0.6125,-0.0954,0.4221,0.4321,73,70,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,2,0.1066,0.3694,0.3869,0.1471,0.2142,0.2312,73,68,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,2,-0.0399,0.7378,0.7488,-0.0133,0.9109,0.9147,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,2,0.1311,0.2689,0.2941,0.119,0.3159,0.3411,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,2,0.1344,0.2571,0.2674,0.027,0.8204,0.8242,73,70,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,2,-0.1207,0.309,0.3343,-0.0465,0.6963,0.711,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,2,-0.0279,0.815,0.8242,-0.0568,0.6333,0.6507,73,66,,,,
n_events,Nombre d evenements,Nino12,2,0.039,0.7279,0.7279,0.0214,0.8487,0.8487,82,82,,,,
n_events,Nombre d evenements,Nino3,2,-0.0107,0.9238,0.9238,0.0074,0.9474,0.9474,82,82,,,,
n_events,Nombre d evenements,Nino34,2,-0.1074,0.3366,0.3366,-0.0972,0.3852,0.3852,82,82,,,,
n_events,Nombre d evenements,Nino4,2,-0.1486,0.1826,0.1826,-0.1697,0.1274,0.1274,82,82,,,,
n_events,Nombre d evenements,IOD,2,0.0253,0.8217,0.8217,0.0229,0.838,0.838,82,82,,,,
n_events,Nombre d evenements,IOBM,2,-0.1324,0.2359,0.2359,-0.1322,0.2364,0.2364,82,82,,,,
n_events,Nombre d evenements,TNA,2,0.1193,0.2855,0.2855,0.0584,0.6021,0.6021,82,82,,,,
n_events,Nombre d evenements,TSA,2,-0.0202,0.8572,0.8572,-0.0232,0.8358,0.8358,82,82,,,,
n_events,Nombre d evenements,ATL3,2,-0.0518,0.644,0.644,-0.0784,0.4838,0.4838,82,82,,,,
n_events,Nombre d evenements,AMM,2,0.1198,0.2837,0.2837,0.1146,0.3054,0.3054,82,82,,,,
n_events,Nombre d evenements,AMO,2,0.1157,0.3006,0.3006,0.0769,0.4921,0.4921,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino12,3,0.0747,0.5298,0.5298,0.0089,0.9407,0.9407,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino3,3,-0.0647,0.5868,0.5868,-0.0248,0.8348,0.8348,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino34,3,-0.0745,0.5309,0.5309,-0.0441,0.7111,0.7111,73,73,,,,
max_precip,Precipitation max mensuel (mm),Nino4,3,-0.0744,0.5314,0.5314,-0.0867,0.4658,0.4658,73,73,,,,
max_precip,Precipitation max mensuel (mm),IOD,3,0.0576,0.6283,0.6283,0.0976,0.4111,0.4111,73,73,,,,
max_precip,Precipitation max mensuel (mm),IOBM,3,0.0598,0.6154,0.6154,0.0761,0.5225,0.5225,73,73,,,,
max_precip,Precipitation max mensuel (mm),TNA,3,0.0119,0.9204,0.9204,0.0327,0.7834,0.7834,73,73,,,,
max_precip,Precipitation max mensuel (mm),TSA,3,0.104,0.3812,0.3812,0.0977,0.4108,0.4108,73,73,,,,
max_precip,Precipitation max mensuel (mm),ATL3,3,0.0791,0.5059,0.5059,0.0757,0.5245,0.5245,73,73,,,,
max_precip,Precipitation max mensuel (mm),AMM,3,-0.0651,0.5844,0.5844,-0.0361,0.7615,0.7615,73,73,,,,
max_precip,Precipitation max mensuel (mm),AMO,3,-0.0333,0.7794,0.7794,-0.0342,0.774,0.774,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino12,3,0.0699,0.5567,0.5567,0.0557,0.64,0.64,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino3,3,0.0291,0.8066,0.8066,0.074,0.5341,0.5341,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino34,3,-0.0168,0.8875,0.8875,0.0003,0.9981,0.9981,73,73,,,,
mean_precip,Precipitation moy. (mm),Nino4,3,-0.068,0.5675,0.5675,-0.0844,0.478,0.478,73,73,,,,
mean_precip,Precipitation moy. (mm),IOD,3,0.2334,0.0469,0.0469,0.2375,0.0431,0.0431,73,73,*,*,*,*
mean_precip,Precipitation moy. (mm),IOBM,3,0.0686,0.5641,0.5641,0.0527,0.6581,0.6581,73,73,,,,
mean_precip,Precipitation moy. (mm),TNA,3,-0.0762,0.5218,0.5218,-0.0931,0.4333,0.4333,73,73,,,,
mean_precip,Precipitation moy. (mm),TSA,3,0.0581,0.6253,0.6253,0.0169,0.8871,0.8871,73,73,,,,
mean_precip,Precipitation moy. (mm),ATL3,3,0.1034,0.3839,0.3839,0.1042,0.3804,0.3804,73,73,,,,
mean_precip,Precipitation moy. (mm),AMM,3,-0.1068,0.3685,0.3685,-0.0828,0.4859,0.4859,73,73,,,,
mean_precip,Precipitation moy. (mm),AMO,3,-0.0989,0.405,0.405,-0.1047,0.3781,0.3781,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,3,-0.1264,0.2865,0.2865,-0.1564,0.1864,0.1864,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,3,-0.211,0.0731,0.0731,-0.2336,0.0467,0.0467,73,73,,*,,*
max_anomaly,Anomalie max moy. (sigma),Nino34,3,-0.1925,0.1028,0.1028,-0.182,0.1234,0.1234,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),Nino4,3,-0.0823,0.489,0.489,-0.0575,0.6291,0.6291,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),IOD,3,0.0004,0.9973,0.9973,0.072,0.5449,0.5449,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),IOBM,3,-0.1129,0.3415,0.3415,-0.097,0.4144,0.4144,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),TNA,3,-0.0605,0.611,0.611,-0.1294,0.2752,0.2752,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,3,0.0488,0.6816,0.6816,0.0529,0.6564,0.6564,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,3,-0.0227,0.849,0.849,-0.1123,0.344,0.344,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,3,-0.0868,0.4654,0.4654,-0.1259,0.2885,0.2885,73,73,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,3,-0.1157,0.3298,0.3298,-0.1853,0.1166,0.1166,73,73,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,3,-0.0495,0.6775,0.6908,-0.0633,0.5945,0.6106,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,3,-0.0075,0.9501,0.9523,0.009,0.9399,0.9425,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,3,0.0563,0.6364,0.6537,0.0504,0.6721,0.6879,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,3,0.113,0.341,0.3699,0.0626,0.5988,0.6203,73,65,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,3,0.0727,0.5411,0.5619,0.0223,0.8512,0.8587,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,3,0.1078,0.3641,0.3817,0.1411,0.2337,0.251,73,68,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,3,-0.0573,0.63,0.645,-0.0065,0.9564,0.9583,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,3,0.1175,0.3222,0.3437,0.093,0.4339,0.4542,73,67,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,3,0.1246,0.2935,0.3076,0.0686,0.5642,0.5755,73,69,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,3,-0.1337,0.2595,0.2846,-0.0361,0.7619,0.7737,73,66,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,3,-0.0149,0.9007,0.9057,-0.0485,0.6837,0.699,73,66,,,,
n_events,Nombre d evenements,Nino12,3,-0.0053,0.9623,0.9623,-0.0237,0.8327,0.8327,82,82,,,,
n_events,Nombre d evenements,Nino3,3,-0.0965,0.3887,0.3887,-0.0514,0.6463,0.6463,82,82,,,,
n_events,Nombre d evenements,Nino34,3,-0.1204,0.2815,0.2815,-0.1036,0.3545,0.3545,82,82,,,,
n_events,Nombre d evenements,Nino4,3,-0.1523,0.1718,0.1718,-0.1633,0.1427,0.1427,82,82,,,,
n_events,Nombre d evenements,IOD,3,-0.0275,0.8062,0.8062,-0.0055,0.9607,0.9607,82,82,,,,
n_events,Nombre d evenements,IOBM,3,-0.0911,0.4157,0.4157,-0.0977,0.3823,0.3823,82,82,,,,
n_events,Nombre d evenements,TNA,3,0.1263,0.2584,0.2584,0.0838,0.4544,0.4544,82,82,,,,
